no,sentence,sentiment,source,location,Confidence,Positive Score,Negative Score,Reason / Notes,Aspect(s),Risk Type(s),Traveller Suitability,Hotel Improvement Insight
67,Nafis very hard working,positive,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,medium,0.72,0.08,Positive wording is stronger than negative wording; main aspect(s): General Experience.,General Experience,Low Risk,Suitable for general short-stay travellers.,Maintain the strengths mentioned by guests.
68,Nice hotel Thanks to joy,positive,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.84,0.08,Positive wording is stronger than negative wording; main aspect(s): General Experience.,General Experience,Low Risk,Suitable for general short-stay travellers.,Maintain the strengths mentioned by guests.
69,"The apartment was clean and comfy.. Love to stay here, i absolutely will come and stay here again next time. Thank you",positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,10,0,"Positive indicators: clean, comfy, love",Cleanliness,No major risk detected,General traveller suitability,No major improvement issue detected
70,I’ve been a loyal guest to NaiBnB. Easy check in process. Residence is walking distance to TRX MRT station and The Exchange Mall. Unit is clean and beautifully designed.,positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,6,0,"Positive indicators: walking distance, clean",Location; Cleanliness; Service,Service Risk,Suitable for convenience-focused travellers,Improve front desk/staff service training
71,"Our stay at Deface Platinum Suites was really good. Good and spacious suite with all amenities by like microwave, TV, refrigerator and kitchen accessories. It was clean and gave us a luxury experience. The city view from the room is an add-on. I read many review regarding the hotel refundable deposit discrepancy, but if you follow the guidelines which are actually very basic for any hotel, there shouldn’t be any problem. The receptionist Nida and other ladies were cooperative and helpful.",positive,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,12.7,0,"Positive indicators: spacious, clean, good",Cleanliness; Service; Facilities,Facility/Maintenance Risk; Service Risk,General traveller suitability,Improve room facilities and maintenance; Improve front desk/staff service training
72,"Strategy location , easy check in, lot of nice restaurants . Quite clean and with lot of facilities .",positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,9,0,"Positive indicators: strategy location, clean, nice",Location; Cleanliness; Service,Service Risk,General traveller suitability,Improve front desk/staff service training
73,The room is spacious and clean. Staff are accommodating and helpful yet the Lobby is dirty and crowded.,positive,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,11,5.5,"Positive indicators: accommodating, spacious, helpful; minor issue(s): crowded, dirty",Cleanliness; Service,Cleanliness Risk,Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness"
74,Emplacement bien. Équipements correct. C'est très petit mais si c'est que pour dormir ça va. Budget accessible qui correspond. Je valide.,positive,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,medium,0.72,0.08,"Positive wording is stronger than negative wording; main aspect(s): Location, Value / Price.","Location, Value / Price",Low Risk,Suitable for tourists and shoppers who want a central Bukit Bintang location.,Maintain location-based selling points and highlight nearby attractions.
75,"I prefer to stay at Swing & Pillow hotel repeatedly, because of Sofia's very good support & assistant at front desk. Sent by Anthony",positive,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.84,0.08,Positive wording is stronger than negative wording; main aspect(s): General Experience.,General Experience,Low Risk,Suitable for general short-stay travellers.,Maintain the strengths mentioned by guests.
76,The staff her is very helpful they even try to use Chinese to communicate with me even though they are not very fluent with chinese. very friendly staff and helpful.,positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,12.8,0,"Positive indicators: helpful, friendly staff, friendly",Service,No major risk detected,General traveller suitability,No major improvement issue detected
77,Room was cheap and value for money. Approachable and friendly staff sabrina. Close to many tourist spots and food spots. Very convenient and accessible.,positive,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.98,0.08,"Positive wording is stronger than negative wording; main aspect(s): Staff / Service, Location, Room Comfort, Value / Price.","Staff / Service, Location, Room Comfort, Value / Price",Low Risk,Suitable for tourists and shoppers who want a central Bukit Bintang location.,Maintain location-based selling points and highlight nearby attractions.
78,Naim helped me a lot,positive,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,medium,0.72,0.08,Positive wording is stronger than negative wording; main aspect(s): General Experience.,General Experience,Low Risk,Suitable for general short-stay travellers.,Maintain the strengths mentioned by guests.
79,We stayed here for 5 days and the stay was very pleasant. Best part of the room was the view. In one window i could see the petronas tower and the menara tower. Amazing.,positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,9,0,"Positive indicators: amazing, best",Location,No major risk detected,General traveller suitability,No major improvement issue detected
80,"Hotel murah, selesa utk siapa yg pilih bajet hotel..kemudahan smua dkt monorail/lrt kedai mkn dsb...recommended sgt siapa yg ddk sni...ni da kli 2 booked 🤩😍",positive,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.8,0.08,"Positive wording is stronger than negative wording; main aspect(s): Room Comfort, Value / Price.","Room Comfort, Value / Price",Low Risk,Suitable for budget-conscious travellers.,Continue promoting value-for-money positioning.
81,Everything good Specially staff behaviour,positive,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,medium,0.76,0.08,Positive wording is stronger than negative wording; main aspect(s): Staff / Service.,Staff / Service,Low Risk,Suitable for guests who value helpful service.,Maintain responsive and friendly staff service.
82,"Nazim, and Hk Rafiul are very helpful. Thanks to every one.",positive,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,medium,0.76,0.08,Positive wording is stronger than negative wording; main aspect(s): Staff / Service.,Staff / Service,Low Risk,Suitable for guests who value helpful service.,Maintain responsive and friendly staff service.
83,"Located very near to KLCC on one of arterial road, spacious room , courteous staff. 5 star",positive,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,5,0,"Positive indicators: spacious, near to",Location; Service,Noise Risk,Suitable for convenience-focused travellers; Not suitable for light sleepers,Improve soundproofing / noise control
84,The hotel was nice to stay and very good staff especially Sabrina.,positive,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.88,0.08,Positive wording is stronger than negative wording; main aspect(s): Staff / Service.,Staff / Service,Low Risk,Suitable for guests who value helpful service.,Maintain responsive and friendly staff service.
85,Semua baik,positive,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,medium,0.72,0.08,Positive wording is stronger than negative wording; main aspect(s): General Experience.,General Experience,Low Risk,Suitable for general short-stay travellers.,Maintain the strengths mentioned by guests.
86,"This is very affordable hotel. You can walk 15mins going to KLCC and 5mins in Pavilion luxury mall and Pavilion night market. There so much restaurants outside the hotel so you can walk and search it by yourself. The staff is kind and friendly specially the girl (I don't have time to check your name😔 ) and to Nime thank you for accommodating us! Overall, we are happy to stay in your hotel. 😊 Highly recommend!",positive,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.96,0.08,"Positive wording is stronger than negative wording; main aspect(s): Staff / Service, Location, Value / Price.","Staff / Service, Location, Value / Price",Low Risk,Suitable for tourists and shoppers who want a central Bukit Bintang location.,Maintain location-based selling points and highlight nearby attractions.
87,dapat harga murah besar berbaloi,positive,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,6,0,"Positive indicators: berbaloi, murah",General,No major risk detected,General traveller suitability,No major improvement issue detected
88,"In a convenient location, you can go anywhere in the city easily, and it's also direct access from the airport. There are many local eateries nearby where you can eat at reasonable prices. The rooms are simple yet clean, and the facilities are fully functional. The view from the higher floors is very nice. They also respond quickly to requests.",positive,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",medium,8,0,"Positive indicators: convenient, clean, nice",Location; Cleanliness,No major risk detected,Suitable for convenience-focused travellers,No major improvement issue detected
89,"My stay at this hotel was very pleasant. The room was clean and well-maintained. The bed was comfortable, and the calm atmosphere made it easy to relax and rest. Facilities such as the air conditioning, bathroom, and basic amenities were all in good condition. Highly suitable for both vacation and business trips.",positive,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",medium,8,0,"Positive indicators: comfortable, clean, good",Cleanliness; Facilities; Comfort/Noise,No major risk detected,General traveller suitability,No major improvement issue detected
90,Best place to stay in KL. Walking Distance to all the best tourist attractions. Value for Money,positive,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,15,0,"Positive indicators: walking distance, value for money, best",Location,No major risk detected,Suitable for convenience-focused travellers,No major improvement issue detected
91,Lokasi sangat strategis. Staff sangat ramah.,positive,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,medium,0.76,0.08,"Positive wording is stronger than negative wording; main aspect(s): Staff / Service, Value / Price.","Staff / Service, Value / Price",Low Risk,Suitable for budget-conscious travellers.,Maintain responsive and friendly staff service.
